# train length : 91
[i] iter = 368000, loss = 0.0059, train_time = 9sec
[i] iter = 369000, loss = 0.0060, train_time = 9sec
[i] iter = 370000, loss = 0.0059, train_time = 9sec
[i] iter = 371000, loss = 0.0060, train_time = 9sec
[i] iter = 372000, loss = 0.0060, train_time = 8sec
[i] iter = 373000, loss = 0.0058, train_time = 9sec
[i] iter = 374000, loss = 0.0060, train_time = 9sec
[i] iter = 375000, loss = 0.0058, train_time = 9sec
[i] iter = 376000, loss = 0.0060, train_time = 9sec
[i] iter = 377000, loss = 0.0061, train_time = 8sec
[i] iter = 378000, loss = 0.0059, train_time = 9sec
[i] iter = 379000, loss = 0.0059, train_time = 8sec
[i] iter = 380000, loss = 0.0058, train_time = 9sec
[i] iter = 381000, loss = 0.0060, train_time = 9sec
[i] iter = 382000, loss = 0.0060, train_time = 9sec
[i] iter = 383000, loss = 0.0060, train_time = 9sec
[i] iter = 384000, loss = 0.0057, train_time = 8sec
[i] iter = 385000, loss = 0.0059, train_time = 8sec
[i] iter = 386000, loss = 0.0060, train_time = 8sec
[i] iter = 387000, loss = 0.0059, train_time = 8sec
[i] iter = 388000, loss = 0.0059, train_time = 8sec
[i] iter = 389000, loss = 0.0061, train_time = 9sec
[i] iter = 390000, loss = 0.0059, train_time = 8sec
[i] iter = 391000, loss = 0.0059, train_time = 9sec
[i] iter = 392000, loss = 0.0058, train_time = 8sec
[i] iter = 393000, loss = 0.0059, train_time = 8sec
[i] iter = 394000, loss = 0.0061, train_time = 9sec
[i] iter = 395000, loss = 0.0060, train_time = 8sec
[i] iter = 396000, loss = 0.0058, train_time = 8sec
[i] iter = 397000, loss = 0.0059, train_time = 8sec
[i] iter = 398000, loss = 0.0057, train_time = 8sec
[i] iter = 399000, loss = 0.0060, train_time = 8sec
[i] iter = 400000, loss = 0.0058, train_time = 8sec
[i] iter = 401000, loss = 0.0058, train_time = 9sec
[i] iter = 402000, loss = 0.0059, train_time = 9sec
[i] iter = 403000, loss = 0.0058, train_time = 8sec
[i] iter = 404000, loss = 0.0059, train_time = 9sec
[i] iter = 405000, loss = 0.0059, train_time = 8sec
[i] iter = 406000, loss = 0.0060, train_time = 9sec
[i] iter = 407000, loss = 0.0060, train_time = 8sec
[i] iter = 408000, loss = 0.0059, train_time = 9sec
[i] iter = 409000, loss = 0.0059, train_time = 8sec
[i] iter = 410000, loss = 0.0060, train_time = 8sec
[i] iter = 411000, loss = 0.0060, train_time = 9sec
[i] iter = 412000, loss = 0.0059, train_time = 8sec
[i] iter = 413000, loss = 0.0058, train_time = 8sec
[i] iter = 414000, loss = 0.0059, train_time = 8sec
[i] iter = 415000, loss = 0.0059, train_time = 8sec
[i] iter = 416000, loss = 0.0059, train_time = 9sec
[i] iter = 417000, loss = 0.0059, train_time = 8sec
[i] iter = 418000, loss = 0.0058, train_time = 8sec
[i] iter = 419000, loss = 0.0058, train_time = 8sec
[i] iter = 420000, loss = 0.0060, train_time = 9sec
[i] iter = 421000, loss = 0.0060, train_time = 9sec
[i] iter = 422000, loss = 0.0058, train_time = 8sec
[i] iter = 423000, loss = 0.0058, train_time = 9sec
[i] iter = 424000, loss = 0.0059, train_time = 8sec
[i] iter = 425000, loss = 0.0058, train_time = 8sec
[i] iter = 426000, loss = 0.0059, train_time = 8sec
[i] iter = 427000, loss = 0.0058, train_time = 8sec
[i] iter = 428000, loss = 0.0059, train_time = 8sec
[i] iter = 429000, loss = 0.0060, train_time = 8sec
[i] iter = 430000, loss = 0.0057, train_time = 8sec
[i] iter = 431000, loss = 0.0059, train_time = 9sec
[i] iter = 432000, loss = 0.0060, train_time = 9sec
[i] iter = 433000, loss = 0.0058, train_time = 8sec
[i] iter = 434000, loss = 0.0060, train_time = 9sec
[i] iter = 435000, loss = 0.0059, train_time = 9sec
[i] iter = 436000, loss = 0.0060, train_time = 9sec
[i] iter = 437000, loss = 0.0059, train_time = 8sec
[i] iter = 438000, loss = 0.0059, train_time = 8sec
[i] iter = 439000, loss = 0.0058, train_time = 8sec
[i] iter = 440000, loss = 0.0058, train_time = 8sec
[i] iter = 441000, loss = 0.0060, train_time = 9sec
[i] iter = 442000, loss = 0.0059, train_time = 8sec
[i] iter = 443000, loss = 0.0059, train_time = 9sec
[i] iter = 444000, loss = 0.0062, train_time = 9sec
[i] iter = 445000, loss = 0.0059, train_time = 9sec
[i] iter = 446000, loss = 0.0060, train_time = 9sec
[i] iter = 447000, loss = 0.0059, train_time = 8sec
[i] iter = 448000, loss = 0.0060, train_time = 9sec
[i] iter = 449000, loss = 0.0059, train_time = 8sec
[i] iter = 450000, loss = 0.0060, train_time = 9sec
[i] iter = 451000, loss = 0.0058, train_time = 9sec
[i] iter = 452000, loss = 0.0059, train_time = 8sec
[i] iter = 453000, loss = 0.0058, train_time = 9sec
[i] iter = 454000, loss = 0.0060, train_time = 8sec
